Variavel,SW_Estatistica,SW_pvalor,KS_Estatistica,KS_pvalor,Normal_0.05
WMC,0.4297,4.675907702350459e-51,0.3085,1.402642566e-314,Nao
CBO,0.5097,1.2600676164640872e-48,0.2333,1.0160587540785016e-177,Nao
LCOM5,0.3015,2.0599572394284144e-54,0.3255,0,Nao
DIT,0.6657,9.65792341083551e-43,0.3789,0,Nao
RFC,0.5295,5.656623525733258e-48,0.2759,1.8117812787331017e-250,Nao
LOC,0.4076,1.1218318535945767e-51,0.317,0,Nao
NM,0.4688,6.612908821382319e-50,0.3499,0,Nao
WarningInfo,0.3853,2.769730012772279e-52,0.308,1.4756720153e-313,Nao
WarningMajor,0.3526,3.847494312446456e-53,0.3534,0,Nao
CD,0.4664,5.575691919498277e-50,0.436,0,Nao
